# Three of these six are live in any one game -- the seed
# decides which. Written by hints.py from clauses.py; see
# hints.py on why the sentences are unique and what they
# assert is not.
# landmark	descriptor	sentence
A-Ma Temple	a_temple_or_pagoda	SIGHTING. A fisherman mending nets puts her there. There was incense on everything, including the man who saw her.
A-Ma Temple	in_the_african_union	SIGHTING. A customs broker puts her there. The country sits in the African Union and the flag was up for it.
A-Ma Temple	inside_the_tropics	STATEMENT. A locksmith will swear to this and to nothing else: the day and the night were much the same length.
A-Ma Temple	something_famous_happened_here	WIRE. From a museum guard, unconfirmed: half the postcards on the rack showed a date rather than a view.
A-Ma Temple	standing_before_the_maps	WIRE. From a locksmith, unconfirmed: it was standing before any of our maps had that coast right.
A-Ma Temple	two_traditions_met_here	RUMOUR. A railway guard has been paid twice for this and it has not changed: two ways of building had run into each other and the join showed.
Aachen Cathedral	a_church_or_cathedral	WIRE. Relayed by an ambulance driver and not yet checked: she went in under a cross and came out without her coat.
Aachen Cathedral	far_from_the_equator	WIRE. Relayed by a bookseller and not yet checked: the difference between the longest day and the shortest is most of a working day.
Aachen Cathedral	guarded_since_before_the_tourists	REPORT. Taken from a coach driver, who was reluctant: protection came early, which is why there is anything left to protect.
Aachen Cathedral	somebody_made_this_by_hand	NOTE. Left for us by a ticket clerk. Somebody spent a life on it and the life is visible.
Aachen Cathedral	something_famous_happened_here	WIRE. From a watchmaker, unconfirmed: people go there for what happened, and they stand about looking at nothing much.
Aachen Cathedral	standing_before_the_maps	RUMOUR. A bar steward has been paid twice for this and it has not changed: it is medieval, and it has been there longer than the country has.
Aapravasi Ghat	french_is_spoken_at_the_top	SIGHTING. A car hire clerk puts her there. The courts there run in French and so does the civil service.
Aapravasi Ghat	in_africa	REPORT. Taken from a money changer, who was reluctant: they tracked her as far as the African continent and lost her there.
Aapravasi Ghat	something_famous_happened_here	SIGHTING. A groundsman puts her there. Something happened there that everyone has heard of.
Aapravasi Ghat	south_of_the_line	RUMOUR. They are saying, on the word of a hotel maid, that Orion was standing on his head.
Aapravasi Ghat	the_old_empire_in_common	RUMOUR. A cleaner at the terminus has been paid twice for this and it has not changed: the forms they filled in were laid out exactly like the forms at home.
Aapravasi Ghat	traffic_keeps_left	NOTE. Left for us by an ambulance driver. The traffic came at her from the side she was not watching.
Aasivissuit–Nipisat	a_crown_still_on_the_coins	STATEMENT. A bus conductor will swear to this and to nothing else: the country still keeps a crown, whatever else it has changed.
Aasivissuit–Nipisat	in_north_america	SIGHTING. A taxi driver saw a woman answering the description. The notes in her hand were North American.
Aasivissuit–Nipisat	long_dark_winter	STATEMENT. A barber, who has no reason to invent it, says the summer nights up there never go properly dark.
Aasivissuit–Nipisat	protected_only_recently	STATEMENT. A tailor will swear to this and to nothing else: half the people who live near it can remember when it was not protected at all.
Aasivissuit–Nipisat	worked_land	NOTE. Left for us by a girl selling cigarettes. It is farmed ground, and the way it is farmed is the point.
Aasivissuit–Nipisat	worked_the_same_way_for_centuries	WIRE. From a fisherman mending nets, unconfirmed: they still do it there the way it has always been done.
Abbey and Altenmünster of Lorsch	a_monastery	SIGHTING. A cook puts her there. There was a community living behind a wall on a rule and a timetable.
Abbey and Altenmünster of Lorsch	far_from_the_equator	WIRE. Relayed by a baggage handler and not yet checked: her shadow never got short, not even at midday.
Abbey and Altenmünster of Lorsch	glass_cases	HEARSAY. A doctor's receptionist told it to somebody who told us. She bought a ticket and a bag was taken off her at the door.
Abbey and Altenmünster of Lorsch	no_passport_needed_next_door	NOTE. Left for us by a doctor's receptionist. The frontier post had been turned into a cafe.
Abbey and Altenmünster of Lorsch	protected_in_the_eighties_or_nineties	WIRE. Relayed by a ticket clerk and not yet checked: the oldest warden there was hired when it was listed and is nearly retired.
Abbey and Altenmünster of Lorsch	standing_before_the_maps	WIRE. From a ticket clerk, unconfirmed: the stonework is of a period when nobody signed their work.
Abbey of Fontenay	a_monastery	WIRE. Relayed by a groundsman and not yet checked: there was a community living behind a wall on a rule and a timetable.
Abbey of Fontenay	a_president_who_governs	REPORT. A locksmith states that the man on the office wall runs the country and is not decoration.
Abbey of Fontenay	far_from_the_equator	SIGHTING. A chemist puts her there. She had bought a coat, and she is not a woman who feels the cold.
Abbey of Fontenay	french_is_spoken_at_the_top	SIGHTING. A chemist saw a woman answering the description. The ministry letterhead was in French, whatever the street was in.
Abbey of Fontenay	guarded_since_before_the_tourists	STATEMENT. A car hire clerk, who has no reason to invent it, says the file goes back further than anyone still working there.
Abbey of Fontenay	standing_before_the_maps	WIRE. Relayed by a customs broker and not yet checked: it was standing before any of our maps had that coast right.
Abbey of Saint Gall	a_federation_of_states	SIGHTING. A groundsman puts her there. There were two sets of taxes on the same receipt.
Abbey of Saint Gall	a_monastery	RUMOUR. They are saying, on the word of a bank teller, that there was a community living behind a wall on a rule and a timetable.
Abbey of Saint Gall	french_is_spoken_at_the_top	WIRE. From a bar steward, unconfirmed: the diplomatic notes go out in French.
