# What she takes at each landmark, what it is worth, and the
# hours of standing still it costs her. Written by
# treasures.py; the impossible ones are hand-authored there.
# landmark	treasure	reputation	dwell_hours	absurd
Vatican City	the keys	100	11	1
Mount Everest	the summit. She took the summit.	100	11	1
Brasília	one day's takings from the whole quarter	80	7	0
Sahara	the sand, in a bag, and the bag was not large	100	11	1
Caspian Sea	the sea wall	80	7	0
Great Wall of China	eleven miles of it, and nobody noticed which eleven	100	11	1
Eiffel Tower	the tower itself, unbolted overnight and driven out in sections	100	11	1
Rabat	one day's takings from the whole quarter	79	7	0
Mount Kilimanjaro	the snow, and there was not much left to take	99	11	1
Taj Mahal	the reflection in the long pool, taken and not returned	99	11	1
Lake Baikal	the depth	99	11	1
Valletta	the hands off the station clock	79	7	0
Quito	the name off every street sign in the district	79	7	0
Easter Island	one statue, walking, as they are said to have done before	99	11	1
Dead Sea	the water, all of it, and the salt it was carrying	99	11	1
Lake Victoria	the depth of it	79	7	0
Great Barrier Reef	the reef, one polyp at a time, and she is patient	99	11	1
Statue of Liberty	the torch, and the arm it was on	99	11	1
Hagia Sophia	the light that comes in at the base of the dome	99	11	1
Lake Tanganyika	the far shore	79	7	0
Samarkand	the blue, off every tile in the city	98	11	1
Machu Picchu	the terraces, rolled up like carpet	98	11	1
Colosseum	the arena floor and everything that ever stood on it	98	11	1
Mount Fuji	the shape of it, which is the only thing anybody wanted	98	11	1
Jaipur	the hands off the station clock	78	6	0
White House	the west wing, and the east wing did not notice	98	11	1
Verona	the name off every street sign in the district	78	6	0
Berlin Wall	the last of it, and now there is none to sell	98	11	1
Burj Khalifa	the top forty floors, and nobody has looked up since	98	11	1
Salvador	one day's takings from the whole quarter	78	6	0
Angkor Wat	the roots, and the temple came with them	98	11	1
Lhasa	the altitude	98	11	1
Mount Vesuvius	the ash cloud, taken before it fell	98	11	1
Stonehenge	the lintels, every one, lifted off in the dark	98	11	1
Niagara Falls	the noise of it, so the water fell in silence for a day	97	11	1
Galapagos Islands	the causeway	77	6	0
Kaaba	nothing at all. She looked, and left it.	97	11	1
Titicaca	the snow line	77	6	0
Sinai Peninsula	the only shade for a day's walk	77	6	0
Timbuktu	the manuscripts, and the reason anybody says the name	97	11	1
Auschwitz	the door of the oldest house in it	77	6	0
Babylon	the gate, which had been stolen once already	97	11	1
Mont Blanc	the last hundred metres of it	77	6	0
Phong Nha–Ke Bang National Park	the plan the whole thing was laid out from	77	6	0
Empire State Building	the signboard at the gate	77	6	0
Pompeii	the ash, and the shapes that were in it	97	11	1
Troy	one day's takings from the whole quarter	77	6	0
Gobi Desert	the map of where the water is	76	6	0
Petra	the facade, peeled off the cliff in one piece	96	11	1
Grand Canyon	the canyon, emptied, and the river left running in the air	96	11	1
Yellowstone National Park	the geyser's timing, so it is no longer faithful	96	11	1
Cusco	the name off every street sign in the district	76	6	0
Aconcagua	the summit cairn	76	6	0
Mount Elbrus	the summit cairn	76	6	0
Bath	the hands off the station clock	76	6	0
K2	the snow line	76	6	0
Lake Superior	the far shore	76	6	0
Mount Ararat	the summit cairn	76	6	0
Victoria Falls	the smoke that thunders, bottled	96	11	1
Golden Gate Bridge	the colour. The bridge is grey now.	96	11	1
Chichen Itza	the echo from the staircase, which no longer answers	95	11	1
Mount Olympus	every seed in the seed store	75	6	0
Lake Ontario	the depth of it	75	6	0
Palace of Versailles	the catalogue, which named things no longer there	75	6	0
Lake Michigan	the depth of it	75	6	0
Mount Bazardüzü	the summit cairn	75	6	0
Palmyra	the colonnade, ahead of the people who were coming for it	95	11	1
Bermuda Triangle	the triangle itself, leaving the sea unremarkable	95	11	1
Kyoto Prefecture	the harbour light	75	6	0
Lake Malawi	the far shore	75	6	0
Kalahari Desert	the well	75	6	0
Lake Chad	the depth of it	75	6	0
Atacama Desert	the map of where the water is	75	6	0
Forbidden City	the last door, so the city is merely difficult now	95	11	1
Mariana Trench	the harbour light	74	6	0
Persepolis	the staircase, and the procession carved on it	94	11	1
Kanchenjunga	the snow line	74	6	0
Lake Erie	the far shore	74	6	0
Acre	the hands off the station clock	74	6	0
Amazon rainforest	the signboard at the gate	74	6	0
Red Square	the hour, off the clock, so the bells struck twelve twice	94	11	1
Château de Montsoreau	the portcullis	74	6	0
Derbent	one day's takings from the whole quarter	74	6	0
Lake Huron	the far shore	74	6	0
Iguaçu Falls	the spray, and the rainbow standing in it	94	11	1
Sydney Opera House	the sails	94	11	1
Mohenjo-daro	the name off every street sign in the district	74	6	0
Acropolis of Athens	the marbles. Again.	93	11	1
Heard Island and McDonald Islands	the only jetty	73	6	0
Negev	the only shade for a day's walk	73	6	0
Mount Rushmore	one of the faces, and she will not say which	93	11	1
Buckingham Palace	the horizon	73	6	0
Christ the Redeemer	the view He was looking at	93	11	1
Angel Falls	the falling part	93	11	1
Krakatoa	the bang, kept in a jar since 1883	93	11	1
Matterhorn	the north face, which was not being used	93	11	1
Neuschwanstein Castle	the castle, which was a copy anyway, so now there are none	93	11	1
Samarra	everything in trench four, crated and gone	73	6	0
Taklamakan	the map of where the water is	73	6	0
Uluru	the rock. The whole rock.	93	11	1
Karakum Desert	the only shade for a day's walk	72	6	0
Namib	the only shade for a day's walk	72	6	0
Olympia	the finds tray, and the labels with it	72	6	0
Big Ben	the chime, taken between the third and the fourth note	92	11	1
Tower of London	the crown jewels, obviously, and she left a receipt	92	11	1
Axum	the hands off the station clock	72	6	0
Kandy	the name off every street sign in the district	72	6	0
Luang Prabang	the name off every street sign in the district	72	6	0
Mount Athos	the last hundred metres of it	72	6	0
Mount Sinai	the summit cairn	72	6	0
San Cristóbal de La Laguna	the name off every street sign in the district	72	6	0
Yosemite National Park	the waterfall, in the dry season, when nobody would miss it	92	11	1
Baalbek	the site notebook, which was worse than the finds	71	6	0
Bastille	the portcullis	71	6	0
Brandenburg Gate	the quadriga, for the fourth time in its history	92	11	1
Marquesas Islands	the causeway	72	6	0
Cologne Cathedral	the rose window, in one piece	71	6	0
Windsor Castle	the keys to a gate that has not been locked in centuries	71	6	0
Fatehpur Sikri	the hands off the station clock	71	6	0
Potosí	the hands off the station clock	71	6	0
Western Wall	the notes in the cracks, every one, unread	91	11	1
Ajanta Caves	the bell rope and the bell	71	6	0
Byblos	everything in trench four, crated and gone	71	6	0
Ha Long Bay	one karst, and the bay is asymmetric now	91	11	1
Thar Desert	the only shade for a day's walk	71	6	0
Western Ghats	the summit cairn	71	6	0
Hadrian's Wall	the site notebook, which was worse than the finds	71	6	0
Kairouan	one day's takings from the whole quarter	70	6	0
Delos	the name off every street sign in the district	70	6	0
Anuradhapura	the site notebook, which was worse than the finds	70	6	0
Assur	the finds tray, and the labels with it	70	6	0
Bagan	the finds tray, and the labels with it	70	6	0
Death Valley	the bridge across it	70	6	0
Shahrisabz	the hands off the station clock	70	6	0
Susa	everything in trench four, crated and gone	70	6	0
Teotihuacan	the finds tray, and the labels with it	70	6	0
Göbekli Tepe	the oldest pillar, and eleven thousand years with it	90	11	1
Loch Ness	whatever it is that lives in it	90	11	1
Virunga National Park	the plan the whole thing was laid out from	70	6	0
Agra Fort	one gate, hinges and all	69	6	0
Great Victoria Desert	the well	70	6	0
Cave of Altamira	the dark	69	6	0
Lumbini	the oldest thing on the site	69	6	0
Aeolian Islands	the causeway	69	6	0
Eyjafjallajökull	the weather station	69	6	0
Giant's Causeway	the plaque, and the screws it was on	69	6	0
Great Zimbabwe	the hands off the station clock	69	6	0
Kaziranga National Park	the plan the whole thing was laid out from	69	6	0
Red Fort	one gate, hinges and all	69	6	0
Serengeti National Park	the count, so nobody knows what is left	69	6	0
Cyrene	the name off every street sign in the district	69	6	0
Ellora Caves	the site notebook, which was worse than the finds	69	6	0
Himeji Castle	the banner off the keep	69	6	0
Notre-Dame de Chartres	the sound of the bells	68	6	0
Porto Venere	the sea wall	68	6	0
Roswell	the weather balloon, which is all it ever was	88	10	1
Taxila	the site notebook, which was worse than the finds	69	6	0
Nalanda Mahavihara	the site notebook, which was worse than the finds	68	6	0
Qutb Minar	the visitors' book	68	6	0
Robben Island	the horizon	68	6	0
Table Mountain	the tablecloth	88	10	1
Times Square	the visitors' book	68	6	0
Dessau	the hands off the station clock	68	6	0
Meteora	the visitors' book	68	6	0
Prambanan Temple	the bell rope and the bell	68	6	0
Everglades National Park	the oldest tree in it, roots and all	67	6	0
Masada	the site notebook, which was worse than the finds	67	6	0
Merv	the finds tray, and the labels with it	67	6	0
Mount Tai	the last hundred metres of it	67	6	0
Plitvice Lakes National Park	every seed in the seed store	67	6	0
Tiwanaku	the name off every street sign in the district	68	6	0
Çatalhöyük	the hands off the station clock	68	6	0
Djerba	the boat, and then there was no way off	66	6	0
Grand Canal	the shutters, from every window on one street	66	6	0
Hampi	the finds tray, and the labels with it	66	6	0
Hiroshima Peace Memorial	every boat tied up that night	66	6	0
Humayun's Tomb	the effigy off the tomb	67	6	0
Itsukushima Shrine	the bell rope and the bell	67	6	0
Lascaux	the horses, off the wall, still running	87	10	1
Leptis Magna	one day's takings from the whole quarter	67	6	0
Mahabodhi Temple	the topmost finial	67	6	0
Nazca Lines	the lines, lifted off the desert like a decal	87	10	1
Shibam	one day's takings from the whole quarter	67	6	0
Tassili n'Ajjer	the last hundred metres of it	67	6	0
Aït Benhaddou	the plaque, and the screws it was on	66	6	0
Kathmandu Valley	the bridge across it	66	6	0
Ngorongoro Conservation Area	the tags off every animal in it	66	6	0
Temple of Heaven	the incense, and the smell went with it	66	6	0
Bam	one day's takings from the whole quarter	66	6	0
Curonian Spit	the tide	66	6	0
Naqsh-e Jahan Square	the signboard at the gate	66	6	0
Palenque	the finds tray, and the labels with it	66	6	0
Selimiye Mosque	the signboard at the gate	66	6	0
Area 51	whatever is in the hangar, which nobody will describe	85	10	1
Bikini Atoll	the lagoon, and what is on the bottom of it	85	10	1
Chogha Zanbil	the site notebook, which was worse than the finds	65	5	0
Huangshan	the last hundred metres of it	65	5	0
Kakadu National Park	the oldest tree in it, roots and all	65	5	0
Okavango Delta	the flood, three months early	85	10	1
Pasargadae	the finds tray, and the labels with it	66	6	0
Alcatraz Island	the island, towed out on the tide	85	10	1
Danube Delta	the flood markers	65	5	0
Komodo National Park	the plan the whole thing was laid out from	65	5	0
Macquarie Island	the causeway	65	5	0
Mogao Caves	everything in trench four, crated and gone	65	5	0
Aachen Cathedral	the sound of the bells	64	5	0
Dasht-e Lut	the only shade for a day's walk	64	5	0
Prague Castle	the portcullis	64	5	0
Saint Sophia Cathedral	the reliquary, and what was in it	64	5	0
Salar de Uyuni	the mirror, rolled up wet	85	10	1
Struve Geodetic Arc	one day's takings	65	5	0
Appian Way	the keys to everything	64	5	0
Surtsey	the tags off every animal in it	64	5	0
Abu Mena	everything in trench four, crated and gone	63	5	0
Białowieża Forest	the breeding pair	63	5	0
Bosra	the site notebook, which was worse than the finds	63	5	0
Butrint	the site notebook, which was worse than the finds	63	5	0
Church of the Nativity	the sound of the bells	63	5	0
Grand Canyon National Park	every seed in the seed store	63	5	0
Hatra	the site notebook, which was worse than the finds	63	5	0
K'gari	the count, so nobody knows what is left	64	5	0
Lorentz National Park	every seed in the seed store	64	5	0
Nesebar	one day's takings from the whole quarter	64	5	0
Neusiedl Lake	the depth of it	64	5	0
Okapi Wildlife Reserve	the keys to everything	64	5	0
Sigiriya	one day's takings from the whole quarter	64	5	0
Thingvellir National Park	the oldest tree in it, roots and all	64	5	0
Hội An	the hands off the station clock	63	5	0
Köneürgenç	the site notebook, which was worse than the finds	63	5	0
Los Glaciares National Park	every seed in the seed store	63	5	0
Mosque-Cathedral of Cordoba	the reliquary, and what was in it	63	5	0
Mount Nemrut	the snow line	63	5	0
Summer Palace	one portrait, and it was the good one	63	5	0
Teide National Park	the plan the whole thing was laid out from	63	5	0
Chitwan National Park	the plan the whole thing was laid out from	62	5	0
M'banza-Kongo	one day's takings from the whole quarter	62	5	0
Mesa Verde National Park	the finds tray, and the labels with it	62	5	0
Niokolo-Koba National Park	the plan the whole thing was laid out from	62	5	0
Omo River	the signboard at the gate	62	5	0
Wadi Rum	the count, so nobody knows what is left	62	5	0
Yakushima	the boat, and then there was no way off	62	5	0
Ani	the site notebook, which was worse than the finds	61	5	0
Chauvet Cave	the paintings off the wall	61	5	0
Comoé National Park	every seed in the seed store	61	5	0
Drottningholm Palace	the door of the oldest house in it	61	5	0
Fukushima Daiichi Nuclear Power Plant	the exclusion, so people came back	81	10	1
Garamba National Park	the plan the whole thing was laid out from	61	5	0
Golestan Palace	one portrait, and it was the good one	61	5	0
Gorée	one day's takings from the whole quarter	62	5	0
Island of Mozambique	one day's takings from the whole quarter	62	5	0
Lake District	the summit cairn	62	5	0
Pont du Gard	the last hundred metres of it	62	5	0
Sagarmatha National Park	the oldest tree in it, roots and all	62	5	0
Timgad	the finds tray, and the labels with it	62	5	0
Amalfi Coast	every boat tied up that night	60	5	0
Bhimbetka rock shelters	everything in trench four, crated and gone	60	5	0
Castel del Monte	the keys to a gate that has not been locked in centuries	60	5	0
Edinburgh Castle	the portcullis	60	5	0
Hegra	the finds tray, and the labels with it	60	5	0
Museum Island	the tide	61	5	0
Salonga National Park	every seed in the seed store	61	5	0
Sarnath	one day's takings from the whole quarter	61	5	0
Valdes Peninsula	the only jetty	61	5	0
Wartburg	the banner off the keep	61	5	0
Zabid	the name off every street sign in the district	61	5	0
Beemster	one day's takings from the whole quarter	59	5	0
Canaima National Park	the oldest tree in it, roots and all	59	5	0
Canal du Midi	the snow line	60	5	0
Kasubi Tombs	the effigy off the tomb	60	5	0
Kinabalu Park	every seed in the seed store	60	5	0
Malbork Castle	the keys to a gate that has not been locked in centuries	60	5	0
Notre-Dame d'Amiens	the sound of the bells	60	5	0
Solovetsky Islands	the count, so nobody knows what is left	60	5	0
Speyer Cathedral	the reliquary, and what was in it	60	5	0
Sundarbans National Park	the plan the whole thing was laid out from	60	5	0
Wachau	the bridge across it	60	5	0
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	the count, so nobody knows what is left	59	5	0
Chernobyl Nuclear Power Plant	the silence, which is the valuable part	79	10	1
Copán	everything in trench four, crated and gone	59	5	0
Elephanta Caves	the deepest chamber	59	5	0
Grand-Place	the plaque, and the screws it was on	59	5	0
Jiuzhaigou Valley	the oldest tree in it, roots and all	59	5	0
Kahuzi-Biéga National Park	the oldest tree in it, roots and all	59	5	0
Kevladev National Park	every seed in the seed store	59	5	0
Palace of Fontainebleau	the third case from the left, and the card beside it	59	5	0
Polonnaruwa	the hands off the station clock	59	5	0
Svalbard Global Seed Vault	one seed, and it was the important one	79	10	1
Burgos Cathedral	the sound of the bells	57	5	0
Château de Chambord	the state bed	57	5	0
Cueva de las Manos	the dark	57	5	0
Djemila	the site notebook, which was worse than the finds	57	5	0
Forth Bridge	the last hundred metres of it	58	5	0
Hawaiʻi Volcanoes National Park	the plan the whole thing was laid out from	58	5	0
Hofburg Palace	the keys to a gate that has not been locked in centuries	58	5	0
Konark Sun Temple	the doorway everyone photographs	58	5	0
Kronborg Castle	the portcullis	58	5	0
L'Anse aux Meadows	the site notebook, which was worse than the finds	58	5	0
Manovo-Gounda St. Floris National Park	the oldest tree in it, roots and all	58	5	0
Olympic National Park	the oldest tree in it, roots and all	58	5	0
Selous Game Reserve	the tags off every animal in it	58	5	0
Simien Mountains National Park	the plan the whole thing was laid out from	58	5	0
Stone Town	one day's takings from the whole quarter	58	5	0
Tadrart Acacus	everything in trench four, crated and gone	58	5	0
Tomb of Askia	the inscription, chiselled out entire	58	5	0
Cahokia	everything in trench four, crated and gone	57	5	0
Chhatrapati Shivaji Maharaj Terminus	the great wheel	57	5	0
Cidade Velha	one day's takings from the whole quarter	57	5	0
Hortobágy National Park	the oldest tree in it, roots and all	57	5	0
Sanchi	one day's takings	57	5	0
Santa Maria delle Grazie	the reliquary, and what was in it	57	5	0
Tropical Rainforest Heritage of Sumatra	the breeding pair	57	5	0
Wulingyuan	the breeding pair	57	5	0
Wuyi Mountains	the last hundred metres of it	57	5	0
Calakmul	the site notebook, which was worse than the finds	55	5	0
Garajonay National Park	every seed in the seed store	55	5	0
Gelati Monastery	the recipe, which was the only secret they had	55	5	0
Jameh Mosque of Isfahan	one day's takings	55	5	0
Jerónimos Monastery	the library's oldest book	56	5	0
Mammoth Cave National Park	the ranger's log for forty years	56	5	0
Mystras	the finds tray, and the labels with it	56	5	0
Mỹ Sơn	everything in trench four, crated and gone	56	5	0
